uid,native_word,english_word,source,score,lang
ben80833,শিমিদ,shimid,AK-Freq,,ben
ben76908,আগ্রহীরা,aagraheeraa,AK-Freq,,ben
ben81865,গণমুখ্যাঃ,ganamukhyaah,AK-Freq,,ben
ben79124,পরিচয়পত্রধারীদের,parichayapatradhaareeder,AK-Freq,,ben
ben77752,স্মৃতিরক্ষার,smritirakkhaar,AK-Freq,,ben
ben81643,ফ্লিন্ডারস,flinders,AK-Freq,,ben
ben76982,জনঘনত্বের,janaghanatwer,AK-Freq,,ben
ben79553,সাইকোলজিষ্টের,psycologister,AK-Freq,,ben
ben78056,করেছিস,karechhis,AK-Freq,,ben
ben80017,ভূমির্দক্ষিণার্থং,bhoomirdakkhinaarthang,AK-Freq,,ben
ben83221,পথভ্রষ্টদেরকে,pathabhrashtaderake,AK-Freq,,ben
ben81725,স্মৃতিগুলি,smwritiguli,AK-Freq,,ben
ben79830,প্রতিনিধিঃনরসিংদীতে,pratinidhihnarasingdeete,AK-Freq,,ben
ben77956,অনুবর্তনের,anubartaner,AK-Freq,,ben
ben81477,কাউন্টারস্থ,kaauntaarasth,AK-Freq,,ben
ben77716,মেরুকরণের,merukaraner,AK-Freq,,ben
ben82007,কথামতো,kathaamato,AK-Freq,,ben
ben76868,বিদ্যালয়গুলিই,bidyaalayagulie,AK-Freq,,ben
ben82088,ধৈবত,dhaibata,AK-Freq,,ben
ben80382,পাঁচতারা,paanchataaraa,AK-Freq,,ben
ben81197,স্থাপনকারীদের,sthaapanakaareeder,AK-Freq,,ben
ben82798,ঘটকচরে,ghatakachare,AK-Freq,,ben
ben82501,অনাপত্তি,anaapatti,AK-Freq,,ben
ben80292,বোর্ডগুলিও,boardgulio,AK-Freq,,ben
ben81511,মিমিগান,mimigan,AK-Freq,,ben
ben76901,প্রলয়কারী,pralayakaaree,AK-Freq,,ben
ben79286,মঙ্গলে,manggale,AK-Freq,,ben
ben80969,মৎস্যজীবীদের,matsyajeebeeder,AK-Freq,,ben
ben77213,পয়েন্টধারীরা,pointdhaareeraa,AK-Freq,,ben
ben80010,সময়দুটোয়,samayadutoy,AK-Freq,,ben
ben79289,রাজনৈতিকভাবেই,raajaneitikavaabei,AK-Freq,,ben
ben81347,মিলিয়েই,miliyei,AK-Freq,,ben
ben83198,সাক্ষাৎকারকেও,saakshaatkaarakeo,AK-Freq,,ben
ben79176,দেবচৌধুরী,debachoudhuree,AK-Freq,,ben
ben76741,লইতে,laite,AK-Freq,,ben
ben79622,সম্পন্নকারীকে,sampannakaareeke,AK-Freq,,ben
ben78598,লভড়ড়,labhadad,AK-Freq,,ben
ben80865,রাধিকাসখীর,raadhikaasakheer,AK-Freq,,ben
ben82664,সারানোকে,saranok,AK-Freq,,ben
ben80234,রানবীর,raanabeer,AK-Freq,,ben
ben82087,বিদ্যালয়গুলিতেও,bidyaalayaguliteo,AK-Freq,,ben
ben77556,রাজাগন,raajaagana,AK-Freq,,ben
ben80039,প্রতাপুরের,prataapurer,AK-Freq,,ben
ben79166,ইলাইজি,ilaaiji,AK-Freq,,ben
ben81043,উবে,ube,AK-Freq,,ben
ben77758,মার্কোনীর,marconir,AK-Freq,,ben
ben81253,সাজিয়েছে,saajiyechhe,AK-Freq,,ben
ben78417,ম্যাচিওরিটিতে,myaachioririte,AK-Freq,,ben
ben78901,মন্ত্রণালয়গুলিতে,mantranaalayagulite,AK-Freq,,ben
ben82846,বলেছ,balechha,AK-Freq,,ben
ben77607,নিরুদ্দেশ,niruddesh,AK-Freq,,ben
ben79115,চিনিয়ে,chiniye,AK-Freq,,ben
ben82289,ব্যক্তিগতভাবেও,byaktigatavaabeo,AK-Freq,,ben
ben80769,অনারবরা,anaarabaraa,AK-Freq,,ben
ben82979,অ্যাম্বাস্যাডারের,ambassadorer,AK-Freq,,ben
ben81132,অদ্ভুতেরও,adbhuterao,AK-Freq,,ben
ben78637,শীতাতপ,sheetaatap,AK-Freq,,ben
ben83460,প্রযুক্তিবিরোধী,prazuktibirodhee,AK-Freq,,ben
ben81672,রথযাত্রায়,rathajaatraay,AK-Freq,,ben
ben78019,তিবাদকা,tibaadakaa,AK-Freq,,ben
ben82469,ঠাঁকুমার,thaankumaar,AK-Freq,,ben
ben77508,জমাখরচ,jamaakharach,AK-Freq,,ben
ben80477,আইওয়াচ,aaioyaach,AK-Freq,,ben
ben82124,প্রজাতিগুলোও,prajaatiguloo,AK-Freq,,ben
ben80175,বিরুদ্ধাবাদীদের,biruddhaabaadeeder,AK-Freq,,ben
ben79748,স্থাপনাসমূহকে,sthaapanaasamoohake,AK-Freq,,ben
ben83637,গালাপ,gaalaap,AK-Freq,,ben
ben80357,শিক্ষাকেন্দ্রগুলোতে,shikkhaakendragulote,AK-Freq,,ben
ben80273,অবস্থানগুলোর,abansthaanagulor,AK-Freq,,ben
ben77974,খরচাদির,kharachaadir,AK-Freq,,ben
ben83242,সবংকে,sabangke,AK-Freq,,ben
ben81484,সয়লাব,sayalaab,AK-Freq,,ben
ben82699,জ্বালায়,jwaalaay,AK-Freq,,ben
ben83165,ভৃত্যাভাবে,bhwrityaabhaabe,AK-Freq,,ben
ben76556,বিরোধে,birodhe,AK-Freq,,ben
ben82224,প্রতিষ্ঠানবিষয়ক,pratishthaanabishayak,AK-Freq,,ben
ben77480,সমতারং,samataarang,AK-Freq,,ben
ben76885,আবৃ,aabri,AK-Freq,,ben
ben80308,কীরকম,keerakam,AK-Freq,,ben
ben83340,এইরূপে,eiroope,AK-Freq,,ben
ben79607,প্রয়োগব্যবস্থায়,prayogabyabasthaay,AK-Freq,,ben
ben79749,প্রশিক্ষকবৃন্দের,prashikkhakabrrinder,AK-Freq,,ben
