text,audio_filepath,utterance_pitch_mean,utterance_pitch_std,snr,c50,speech_duration,speaking_rate,duration,language,speaker,speaker_id,name,PESQ,speaker_name,style,dataset,STOI,SI-SDR,MOS,data
অসমৰ বিভিন্ন জিলাত অনুষ্ঠিত হোৱা টাইকুৱাণ্ডো প্ৰতিযোগিতাৰ খেলসমূহলৈ যাওঁ,2533274790423631_chunk_3_enhanced.wav,214.4638061523437,26.20026016235352,53.452030181884766,53.122215270996094,6.631875,10.85665818490246,6.6880208333,Assamese,Female,S4256034800390538,2533274790423631_chunk_3_enhanced.wav,3.765625,,,IndicVoices-R,1.0,29.625,4.319531440734863,/data-3/praveen/ivr
তেওঁলোকৰ বিশেষকৈ ৰাস্তা পদুলিৰ বাবে বিশেষ কষ্ট হোৱা দেখা যায় চাইকেলত তেওঁলোকে বস্তু কিনিব লাগে,2533274790509771_chunk_8_enhanced.wav,210.4778747558593,30.203996658325195,63.86307907104492,45.249267578125,8.403750000000002,11.185482671426444,8.4160208333,Assamese,Female,S4257847400306575,2533274790509771_chunk_8_enhanced.wav,4.25,,,IndicVoices-R,0.99609375,31.25,4.457062244415283,/data-3/praveen/ivr
শেহতীয়া বছৰটোত যেনেদৰে গেলামাল বা পাচলিৰ মূল্য বৃদ্ধি হৈছে,2533274790446345_chunk_3_enhanced.wav,200.8073272705078,38.162593841552734,44.183349609375,56.749732971191406,6.766875,8.571164680890368,6.782,Assamese,Female,S4257051300302944,2533274790446345_chunk_3_enhanced.wav,2.84375,,,IndicVoices-R,0.953125,25.375,4.367398262023926,/data-3/praveen/ivr
বিশেষকৈ ভাল দেখা যায় কিন্তু তাৰ বিপৰীতে চহৰ অঞ্চলত মানুহৰ স্বাস্থ্য যিহেতু বাহিৰৰ পৰা আহে তেওঁলোকৰ খোৱা পাতি বিশেষকৈ এটা বেলেগ লাইফষ্টাইল যেনে,2533274790396649_chunk_15_enhanced.wav,250.27261352539065,46.910118103027344,55.48651123046875,53.49137496948242,13.078125,10.857825567502989,13.7070208333,Assamese,Female,S4258196600382427,2533274790396649_chunk_15_enhanced.wav,2.5625,,,IndicVoices-R,0.95703125,17.0,4.444675922393799,/data-3/praveen/ivr
মৰহি যোৱা পিছত আকৌ এজোপা ফুল যাতে যাতে আকৌ ফুলে কেতিয়া ফুলে ফুলজোপা মৰহি গ লে কিবা এটা পৰিৱেশ এটা হেৰি হয়নে,2533274790475101_chunk_33_enhanced.wav,195.5523834228516,28.01288604736328,52.93158721923828,41.90745162963867,9.500625,11.262416946253536,10.7190208333,Assamese,Female,S4259022700377020,2533274790475101_chunk_33_enhanced.wav,2.375,,,IndicVoices-R,0.91015625,12.4375,4.0339860916137695,/data-3/praveen/ivr
আৰু তিলনী দিনা আবেলিলৈ বৰতত থকা সকলো লোকে বৰতিয়া ভাত এসাঁজ খাই সেইয়া আকৌ বেলি মাৰ নোযোৱা আগতে,2533274790430937_chunk_6_enhanced.wav,248.0846405029297,66.54402160644531,54.96257781982422,57.71208190917969,11.17125,8.324941255454851,11.2,Assamese,Female,S4259747600357509,2533274790430937_chunk_6_enhanced.wav,3.359375,,,IndicVoices-R,0.984375,23.25,4.432167053222656,/data-3/praveen/ivr
মানে হবি হিচাপে লওঁ আৰু মই ৰান্ধি বহুত ভাল পাওঁ,2533274790557781_chunk_4_enhanced.wav,220.68862915039065,23.246875762939453,66.68182373046875,44.20302581787109,4.2525,11.052322163433274,4.2880208333,Assamese,Female,S4256094700303899,2533274790557781_chunk_4_enhanced.wav,3.828125,,,IndicVoices-R,0.99609375,28.5,4.152249336242676,/data-3/praveen/ivr
সাংবাদিকতাৰ জগতখনৰ আনটো ফালে কিছুমান অন্ধকাৰ দিশ আছে মানুহে নাম কিনিবৰ কাৰণে কিমান,2533274790500471_chunk_12_enhanced.wav,194.94854736328125,47.459381103515625,63.15829086303711,33.329437255859375,8.53875,9.60327916849656,8.8670208333,Assamese,Female,S4259354000345391,2533274790500471_chunk_12_enhanced.wav,3.5,,,IndicVoices-R,0.99609375,23.0,4.453446865081787,/data-3/praveen/ivr
বিৰাট ভাল লাগি যায় আৰু নিজৰ ফুলনিখনত সোমালে বৰ ভাল লাগি যায়,2533274790446789_chunk_9_enhanced.wav,218.6683349609375,28.791868209838867,62.38817596435547,59.39630889892578,4.134375,14.270597127739984,4.863,Assamese,Female,S4259544100397652,2533274790446789_chunk_9_enhanced.wav,3.546875,,,IndicVoices-R,0.98828125,24.75,3.9631195068359375,/data-3/praveen/ivr
তাৰোপৰি আমাৰ যিসমূহ পেলনীয়া কাগজ থাকে যিসমূহ আমি আমাৰ স্কুল বা কলেজত ব্যৱহাৰ কৰিছোঁ আৰু পিছত ব্যৱহাৰ কৰিব নোৱাৰোঁ,2533274790516926_chunk_6_enhanced.wav,214.1342163085937,42.3110580444336,50.59950256347656,58.14468765258789,9.146250000000002,12.35479021456881,9.183,Assamese,Female,S4256047200302994,2533274790516926_chunk_6_enhanced.wav,3.078125,,,IndicVoices-R,0.9765625,12.6875,4.372160911560059,/data-3/praveen/ivr
সিহঁতক মই সময়মতে খাদ্য়ৰ যোগান ধৰোঁ খাদ্য় খাব নেপালে সময়মতে সিহঁতে মোৰ ফালে চাই খুব মানে চাই চাই,2533274790460163_chunk_48_enhanced.wav,217.8876342773437,24.8154411315918,51.06504821777344,58.67610931396485,10.867500000000003,8.741660915573956,10.911,Assamese,Female,S4257301400368532,2533274790460163_chunk_48_enhanced.wav,3.75,,,IndicVoices-R,0.9921875,25.5,4.3514018058776855,/data-3/praveen/ivr
